122.274356,"FMSInfo",null,0,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,null,null,null,null,null,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.082753,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,null,null,null,null,null,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.80292,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1300000000000001;2.1199999999999974;0.11999999999999998],1.1300000000000001,2.1199999999999974,0.11999999999999998,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.822853,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1300000000000001;2.1299999999999972;0.11999999999999998],1.1300000000000001,2.1299999999999972,0.11999999999999998,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.84285,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1300000000000001;2.1299999999999972;0.12999999999999998],1.1300000000000001,2.1299999999999972,0.12999999999999998,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.861985,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1400000000000001;2.1299999999999972;0.12999999999999998],1.1400000000000001,2.1299999999999972,0.12999999999999998,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.883614,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1400000000000001;2.139999999999997;0.12999999999999998],1.1400000000000001,2.139999999999997,0.12999999999999998,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.902822,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1400000000000001;2.139999999999997;0.13999999999999999],1.1400000000000001,2.139999999999997,0.13999999999999999,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.922809,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1500000000000001;2.139999999999997;0.13999999999999999],1.1500000000000001,2.139999999999997,0.13999999999999999,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.94369,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1500000000000001;2.149999999999997;0.13999999999999999],1.1500000000000001,2.149999999999997,0.13999999999999999,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.963773,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1500000000000001;2.149999999999997;0.15],1.1500000000000001,2.149999999999997,0.15,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
137.983186,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1600000000000001;2.149999999999997;0.15],1.1600000000000001,2.149999999999997,0.15,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.002715,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1600000000000001;2.1599999999999966;0.15],1.1600000000000001,2.1599999999999966,0.15,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.022806,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1600000000000001;2.1599999999999966;0.16],1.1600000000000001,2.1599999999999966,0.16,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
138.042714,"FMSInfo",null,33,null,true,null,null,null,null,null,"RobotPreferences",null,null,null,null,false,null,null,null,"Command",null,null,null,0,0,"TestBed1",1500,1500,[1.1700000000000002;2.1599999999999966;0.16],1.1700000000000002,2.1599999999999966,0.16,3,null,null,null,"Command",null,null,null,null,null,null,"Command",null,null,null
